;VISITATORI PER PROVENIENZA GEOGRAFICA – GENNAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Medievale;1.734;628;314;88;10;39;44;1;44;2.902;14,0%;;0;2.902;;
Museo Bargellini;1.213;936;443;92;4;74;45;8;41;2.856;13,8%;;0;2.856;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;231;96;12;2;0;0;2;0;1;344;1,7%;;0;344;;
Museo del Patrimonio Industriale;847;181;22;9;0;3;2;0;2;1.066;5,2%;;0;1.066;;
Museo di Ustica;321;894;92;25;2;8;5;0;11;1.358;6,6%;;0;1.358;;
Casa Morandi;51;79;28;6;0;7;21;0;4;196;0,9%;;0;196;;
Mambo Collezione;2.322;581;297;134;2;15;64;0;17;3.432;16,6%;;0;3.432;;
MAMbo “Carbotta”;315;20;0;0;0;0;0;0;0;335;1,6%;;0;335;;
Villa delle Rose “Lombard”;91;9;0;0;0;0;0;0;0;100;0,5%;;0;100;;
Totale Istituzione;9.652;6.902;2.534;776;31;219;341;9;194;20.658;100,0%;;0;20.658;;
;46,72%;33,41%;12,27%;3,76%;0,15%;1,06%;1,65%;0,04%;0,94%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – FEBBRAIO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;1.217;696;250;66;7;8;43;2;7;2.296;6,5%;;156;2.452;;
Museo Archeologico;771;602;634;135;3;25;83;2;21;2.276;6,5%;;0;2.276;;
Collezioni Comunali;2.701;2.520;1.009;166;18;39;58;2;25;6.538;18,6%;;0;6.538;;
Museo Medievale;1.913;1.010;534;131;3;31;49;0;19;3.690;10,5%;;555;4.245;;
Museo Bargellini;2.069;1.119;532;313;12;37;64;3;16;4.165;11,8%;;0;4.165;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;366;97;17;4;0;0;2;2;1;489;1,4%;;0;489;;
Museo del Patrimonio Industriale;772;469;35;4;0;3;0;0;0;1.283;3,6%;;76;1.359;;
Museo di Ustica;189;620;87;8;0;0;4;0;0;908;2,6%;;0;908;;
Casa Morandi;707;474;95;16;0;0;55;0;4;1.351;3,8%;;0;1.351;;
Mambo Collezione;4.487;419;369;100;2;11;81;0;14;5.483;15,6%;;0;5.483;;
MAMbo “Carbotta”;5.660;198;134;39;2;3;8;0;8;6.052;17,2%;;0;6.052;;
